127.0.0.1 - - [15/Sep/2022:16:57:17 +0900] "GET / HTTP/1.1" 200 146
192.168.10.203 - - [15/Sep/2022:16:57:41 +0900] "GET / HTTP/1.1" 200 146
192.168.10.203 - - [15/Sep/2022:16:58:29 +0900] "GET / HTTP/1.1" 200 3339
192.168.10.203 - - [15/Sep/2022:16:58:29 +0900] "GET /css/header.css HTTP/1.1" 404 825
192.168.10.203 - - [15/Sep/2022:16:58:29 +0900] "GET /js/header.js HTTP/1.1" 404 823
192.168.10.203 - - [15/Sep/2022:16:58:29 +0900] "GET /img/logo2.png HTTP/1.1" 404 824
192.168.10.203 - - [15/Sep/2022:16:58:29 +0900] "GET / HTTP/1.1" 200 3339
192.168.10.203 - - [15/Sep/2022:16:58:29 +0900] "GET /css/header.css HTTP/1.1" 404 825
192.168.10.203 - - [15/Sep/2022:16:58:29 +0900] "GET /img/logo2.png HTTP/1.1" 404 824
192.168.10.203 - - [15/Sep/2022:16:58:29 +0900] "GET /js/header.js HTTP/1.1" 404 823
192.168.10.203 - - [15/Sep/2022:16:59:44 +0900] "GET / HTTP/1.1" 200 3340
192.168.10.203 - - [15/Sep/2022:16:59:44 +0900] "GET /css/header.css HTTP/1.1" 404 825
192.168.10.203 - - [15/Sep/2022:16:59:44 +0900] "GET /js/header.js HTTP/1.1" 404 823
192.168.10.203 - - [15/Sep/2022:16:59:44 +0900] "GET /img/logo2.png HTTP/1.1" 404 824
192.168.10.203 - - [15/Sep/2022:16:59:45 +0900] "GET / HTTP/1.1" 200 3340
192.168.10.203 - - [15/Sep/2022:16:59:45 +0900] "GET /img/logo2.png HTTP/1.1" 404 824
192.168.10.203 - - [15/Sep/2022:16:59:45 +0900] "GET /css/header.css HTTP/1.1" 404 825
192.168.10.203 - - [15/Sep/2022:16:59:45 +0900] "GET /js/header.js HTTP/1.1" 404 823
192.168.10.203 - - [15/Sep/2022:17:01:02 +0900] "GET / HTTP/1.1" 200 3340
192.168.10.203 - - [15/Sep/2022:17:01:02 +0900] "GET /js/header.js HTTP/1.1" 404 823
192.168.10.203 - - [15/Sep/2022:17:01:02 +0900] "GET /css/header.css HTTP/1.1" 200 1890
192.168.10.203 - - [15/Sep/2022:17:01:02 +0900] "GET /img/logo2.png HTTP/1.1" 200 10385
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET / HTTP/1.1" 200 5497
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET /img/logo2.png HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET /css/header.css HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET /css/footer.css HTTP/1.1" 200 1107
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET /img/instagram.png HTTP/1.1" 200 54997
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET /img/facebook.png HTTP/1.1" 200 30951
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET /js/header.js HTTP/1.1" 404 823
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET /img/blog.png HTTP/1.1" 200 1636
192.168.10.203 - - [15/Sep/2022:17:01:56 +0900] "GET /img/youtube.png HTTP/1.1" 200 28411
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET / HTTP/1.1" 200 7699
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /css/header.css HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /css/mainPage.css HTTP/1.1" 200 3290
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /js/header.js HTTP/1.1" 404 823
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /css/footer.css HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /js/mainPage.js HTTP/1.1" 404 825
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/mainTop.JPG HTTP/1.1" 200 86055
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/logo2.png HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/facebook.png HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/instagram.png HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/youtube.png HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/blog.png HTTP/1.1" 304 -
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/mainMid1.png HTTP/1.1" 200 122055
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/mainMid2.png HTTP/1.1" 200 232085
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/mainMid3.png HTTP/1.1" 200 146624
192.168.10.203 - - [15/Sep/2022:17:04:53 +0900] "GET /img/mainMid4.png HTTP/1.1" 200 211384
